Algorithm, method_start, restart, dimension, step, a, s1, s2, fes, fx
NM, pfefferSimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, pfefferSimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
NM, pfefferSimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, pfefferSimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, pfefferSimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, pfefferSimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, pfefferSimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, pfefferSimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, pfefferSimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 12500, 1.006018
ANM, pfefferSimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 12500, 1.006018
NM, pfefferSimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 12500, 1.006018
ANM, pfefferSimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 12500, 1.006018
NM, pfefferSimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 12500, 1.006018
ANM, pfefferSimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 12500, 1.006018
NM, pfefferSimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 12500, 1.006018
ANM, pfefferSimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 12500, 1.006018
NM, pfefferSimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, pfefferSimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
NM, pfefferSimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, pfefferSimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, pfefferSimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, pfefferSimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, pfefferSimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, pfefferSimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, pfefferSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 12500, 1.006018
ANM, pfefferSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 12500, 1.006018
NM, pfefferSimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 12500, 1.006018
ANM, pfefferSimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 12500, 1.006018
NM, pfefferSimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 12500, 1.006018
ANM, pfefferSimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 12500, 1.006018
NM, pfefferSimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 12500, 1.006018
ANM, pfefferSimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 12500, 1.006018
NM, rOptimSimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 7142, 0.000018
ANM, rOptimSimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 7142, 0.000018
NM, rOptimSimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 7142, 0.000018
ANM, rOptimSimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 7142, 0.000018
NM, rOptimSimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 7142, 0.000018
ANM, rOptimSimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 7142, 0.000018
NM, rOptimSimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 7142, 0.000018
ANM, rOptimSimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 7142, 0.000018
NM, rOptimSimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
ANM, rOptimSimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
NM, rOptimSimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 7692, 0.000018
ANM, rOptimSimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 7692, 0.000018
NM, rOptimSimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 7692, 0.000018
ANM, rOptimSimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 7692, 0.000018
NM, rOptimSimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 7692, 0.000018
ANM, rOptimSimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 7692, 0.000018
NM, rOptimSimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 7142, 0.000018
ANM, rOptimSimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 7142, 0.000018
NM, rOptimSimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 7142, 0.000018
ANM, rOptimSimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 7142, 0.000018
NM, rOptimSimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 7142, 0.000018
ANM, rOptimSimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 7142, 0.000018
NM, rOptimSimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 7142, 0.000018
ANM, rOptimSimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 7142, 0.000018
NM, rOptimSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
ANM, rOptimSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
NM, rOptimSimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 7692, 0.000018
