Type,Class,Pixels,pixels per 1mm,Area,cfos/mm,ctb/mm,double/mm,cfos,ctb,double,double/cfos,double/ctb
PSTH 18,3=2RE,1442044,3200,0.140824609,653.2949064,823.7196646,134.9196002,92,116,19,0.206521739,0.163793103
PSTH 18,2=14RE,935408,3200,0.091348438,2977.60977,306.5186528,109.4709474,272,28,10,0.036764706,0.357142857
PSTH 18,2=13RE,1188479,3200,0.116062402,1490.577452,396.3385133,129.2408196,173,46,15,0.086705202,0.326086957
PSTH 17,3=2,266072,1800,0.082120988,2788.568508,267.8974112,85.24008539,229,22,7,0.030567686,0.318181818
PSTH 17,2=15,224961,1800,0.069432407,1195.407204,374.4649073,86.4149786,83,26,6,0.072289157,0.230769231
PSTH 17,3=4,304084,1800,0.093853086,3324.344589,159.8242591,21.30990121,312,15,2,0.006410256,0.133333333
PSTH 16,2=15,237866,1800,0.073415432,994.3413519,449.4967755,95.34780086,73,33,7,0.095890411,0.212121212
PSTH 16,3=5RE,938270,3200,0.09162793,1320.558048,753.0454986,240.1014633,121,69,22,0.181818182,0.31884058
PSTH 16,3=2RE,1257539,3200,0.122806543,1726.292385,504.8590938,122.1433292,212,62,15,0.070754717,0.241935484
PSTH 19,2=7,738941,3201,0.072162207,2134.08107,291.011055,124.7190236,154,21,9,0.058441558,0.428571429
PSTH 19,2=9,867611,3202,0.084727637,3375.521979,247.8530125,82.61767082,286,21,7,0.024475524,0.333333333
PSTH 19,2=10,1371592,3203,0.133944531,2321.856645,559.9332746,186.6444249,311,75,25,0.080385852,0.333333333
PSTH 20,0=1 R,1271272,3204,0.124147656,1884.852337,338.3068297,161.0984903,234,42,20,0.085470085,0.476190476
PSTH 20,0=2 R,1366779,3205,0.133474512,1356.064148,284.6985504,59.93653692,181,38,8,0.044198895,0.210526316
PSTH 20,0=4,1104866,3206,0.10789707,611.6940878,315.1151361,46.3404612,66,34,5,0.075757576,0.147058824
PSTH 18,4=18,412072,1799,0.127182716,1053.602283,283.0573298,86.48973966,134,36,11,0.082089552,0.305555556
PSTH 18,4=17,548019,1800,0.169141667,1005.074642,301.5223925,100.5074642,170,51,17,0.1,0.333333333
PSTH 18,5=4,457102,1799,0.141080864,1616.094438,581.2269472,269.3490731,228,82,38,0.166666667,0.463414634
PSTH 17,5=11,690661,1800,0.213166975,1130.569121,159.4993781,60.98505634,241,34,13,0.053941909,0.382352941
PSTH 17,5=12,344674,1800,0.106380864,1024.620366,225.6044842,131.6026158,109,24,14,0.128440367,0.583333333
PSTH 17,5=9,964861,1800,0.297796605,523.8474765,130.9618691,20.14797986,156,39,6,0.038461538,0.153846154
PSTH 16,5=2 RE,1336231,3600,0.130491309,1279.778721,605.4043051,237.5637147,167,79,31,0.185628743,0.392405063
PSTH 16,5=1,591253,1800,0.182485494,586.3479762,208.2357299,71.23853917,107,38,13,0.121495327,0.342105263
